Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2013 00:00;4655;4292
01-02-2013 01:00;4994;4611
01-02-2013 02:00;5052;4681
01-02-2013 03:00;5098;4729
01-02-2013 04:00;5211;4815
01-02-2013 05:00;5148;4769
01-02-2013 06:00;5060;4681
01-02-2013 07:00;5165;4772
01-02-2013 08:00;5066;4669
01-02-2013 09:00;4984;4610
01-02-2013 10:00;4983;4597
01-02-2013 11:00;5009;4634
01-02-2013 12:00;5135;4753
01-02-2013 13:00;5275;4883
01-02-2013 14:00;5259;4848
01-02-2013 15:00;5156;4753
01-02-2013 16:00;5009;4613
01-02-2013 17:00;4808;4417
01-02-2013 18:00;4655;4270
01-02-2013 19:00;4481;4109
01-02-2013 20:00;4450;4063
01-02-2013 21:00;4396;4025
01-02-2013 22:00;4344;3968
01-02-2013 23:00;4345;3967
02-02-2013 00:00;4566;4206
