Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2003 00:00;3538;3526
01-03-2003 01:00;3640;3630
01-03-2003 02:00;3693;3681
01-03-2003 03:00;3775;3766
01-03-2003 04:00;3655;3646
01-03-2003 05:00;3644;3634
01-03-2003 06:00;3553;3542
01-03-2003 07:00;3489;3479
01-03-2003 08:00;3468;3457
01-03-2003 09:00;3437;3426
01-03-2003 10:00;3508;3497
01-03-2003 11:00;3505;3493
01-03-2003 12:00;3807;3787
01-03-2003 13:00;4035;4006
01-03-2003 14:00;3965;3938
01-03-2003 15:00;3855;3829
01-03-2003 16:00;3714;3693
01-03-2003 17:00;3498;3489
01-03-2003 18:00;3423;3413
01-03-2003 19:00;3305;3295
01-03-2003 20:00;3258;3248
01-03-2003 21:00;3256;3246
01-03-2003 22:00;3288;3279
01-03-2003 23:00;3320;3310
02-03-2003 00:00;3393;3383
