Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2013 00:00;4580;4205
01-03-2013 01:00;4890;4462
01-03-2013 02:00;5012;4558
01-03-2013 03:00;5200;4638
01-03-2013 04:00;5146;4576
01-03-2013 05:00;5100;4546
01-03-2013 06:00;4957;4408
01-03-2013 07:00;4934;4371
01-03-2013 08:00;4866;4288
01-03-2013 09:00;4841;4272
01-03-2013 10:00;4890;4324
01-03-2013 11:00;4940;4384
01-03-2013 12:00;4942;4389
01-03-2013 13:00;5182;4600
01-03-2013 14:00;5293;4701
01-03-2013 15:00;5125;4643
01-03-2013 16:00;5004;4533
01-03-2013 17:00;4808;4412
01-03-2013 18:00;4405;4033
01-03-2013 19:00;4325;3950
01-03-2013 20:00;4349;3986
01-03-2013 21:00;4191;3823
01-03-2013 22:00;4311;3926
01-03-2013 23:00;4414;4033
02-03-2013 00:00;4449;4084
