Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2017 00:00;4695;4530
01-03-2017 01:00;4862;4563
01-03-2017 02:00;4997;4688
01-03-2017 03:00;4989;4678
01-03-2017 04:00;4942;4628
01-03-2017 05:00;4790;4482
01-03-2017 06:00;4831;4527
01-03-2017 07:00;4733;4433
01-03-2017 08:00;4680;4385
01-03-2017 09:00;4700;4403
01-03-2017 10:00;4710;4414
01-03-2017 11:00;4915;4614
01-03-2017 12:00;5034;4721
01-03-2017 13:00;5125;4800
01-03-2017 14:00;5050;4729
01-03-2017 15:00;4882;4579
01-03-2017 16:00;4755;4480
01-03-2017 17:00;4561;4381
01-03-2017 18:00;4397;4223
01-03-2017 19:00;4242;4055
01-03-2017 20:00;4232;4056
01-03-2017 21:00;4271;4093
01-03-2017 22:00;4294;4113
01-03-2017 23:00;4343;4162
02-03-2017 00:00;4542;4367
