Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2012 00:00;4484;4133
01-01-2012 01:00;4474;4114
01-01-2012 02:00;4512;4144
01-01-2012 03:00;4684;4278
01-01-2012 04:00;4727;4324
01-01-2012 05:00;4813;4411
01-01-2012 06:00;4728;4342
01-01-2012 07:00;4618;4201
01-01-2012 08:00;4552;4160
01-01-2012 09:00;4572;4166
01-01-2012 10:00;4532;4144
01-01-2012 11:00;4545;4170
01-01-2012 12:00;4910;4543
01-01-2012 13:00;4976;4590
01-01-2012 14:00;5002;4629
01-01-2012 15:00;4896;4497
01-01-2012 16:00;4933;4550
01-01-2012 17:00;4685;4370
01-01-2012 18:00;4570;4273
01-01-2012 19:00;4424;4135
01-01-2012 20:00;4347;4063
01-01-2012 21:00;4342;4085
01-01-2012 22:00;4320;4049
01-01-2012 23:00;4319;4049
02-01-2012 00:00;4487;4206
