Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2010 00:00;3889;3632
01-01-2010 01:00;3915;3641
01-01-2010 02:00;3954;3716
01-01-2010 03:00;4031;3792
01-01-2010 04:00;4168;3926
01-01-2010 05:00;4148;3900
01-01-2010 06:00;4082;3869
01-01-2010 07:00;4076;3854
01-01-2010 08:00;4053;3805
01-01-2010 09:00;4025;3806
01-01-2010 10:00;4148;3911
01-01-2010 11:00;4419;4177
01-01-2010 12:00;4569;4325
01-01-2010 13:00;4507;4258
01-01-2010 14:00;4470;4214
01-01-2010 15:00;4453;4200
01-01-2010 16:00;4306;4034
01-01-2010 17:00;4152;3896
01-01-2010 18:00;3982;3751
01-01-2010 19:00;3946;3696
01-01-2010 20:00;3891;3642
01-01-2010 21:00;3875;3643
01-01-2010 22:00;3823;3578
01-01-2010 23:00;3829;3605
02-01-2010 00:00;4008;3767
