Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2019 00:00;3733;3623
01-05-2019 01:00;3980;3855
01-05-2019 02:00;4198;4083
01-05-2019 03:00;4252;4125
01-05-2019 04:00;4346;4226
01-05-2019 05:00;4478;4360
01-05-2019 06:00;4353;4238
01-05-2019 07:00;4371;4246
01-05-2019 08:00;4346;4227
01-05-2019 09:00;4459;4341
01-05-2019 10:00;4279;4162
01-05-2019 11:00;4232;4123
01-05-2019 12:00;4278;4166
01-05-2019 13:00;4428;4311
01-05-2019 14:00;4473;4348
01-05-2019 15:00;4444;4338
01-05-2019 16:00;4236;4128
01-05-2019 17:00;4209;4097
01-05-2019 18:00;4032;3930
01-05-2019 19:00;3995;3887
01-05-2019 20:00;3774;3679
01-05-2019 21:00;3821;3711
01-05-2019 22:00;3693;3585
01-05-2019 23:00;3849;3746
02-05-2019 00:00;3860;3744
