Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2014 00:00;3882;3514
01-04-2014 01:00;4114;3671
01-04-2014 02:00;4313;3780
01-04-2014 03:00;4366;3800
01-04-2014 04:00;4284;3726
01-04-2014 05:00;4210;3642
01-04-2014 06:00;4218;3652
01-04-2014 07:00;4169;3602
01-04-2014 08:00;4122;3554
01-04-2014 09:00;4091;3528
01-04-2014 10:00;4035;3481
01-04-2014 11:00;4131;3597
01-04-2014 12:00;4179;3638
01-04-2014 13:00;4333;3756
01-04-2014 14:00;4506;3940
01-04-2014 15:00;4618;4035
01-04-2014 16:00;4281;3790
01-04-2014 17:00;3939;3541
01-04-2014 18:00;3754;3366
01-04-2014 19:00;3525;3141
01-04-2014 20:00;3441;3072
01-04-2014 21:00;3546;3194
01-04-2014 22:00;3519;3137
01-04-2014 23:00;3604;3225
02-04-2014 00:00;3904;3531
