Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2015 00:00;4555;4306
01-02-2015 01:00;4757;4515
01-02-2015 02:00;4834;4573
01-02-2015 03:00;5158;4876
01-02-2015 04:00;5193;4934
01-02-2015 05:00;5127;4882
01-02-2015 06:00;5045;4787
01-02-2015 07:00;4939;4674
01-02-2015 08:00;4824;4585
01-02-2015 09:00;4855;4603
01-02-2015 10:00;4858;4609
01-02-2015 11:00;5084;4817
01-02-2015 12:00;5413;5147
01-02-2015 13:00;5392;5120
01-02-2015 14:00;5295;5015
01-02-2015 15:00;5174;4932
01-02-2015 16:00;4952;4719
01-02-2015 17:00;4854;4605
01-02-2015 18:00;4680;4439
01-02-2015 19:00;4633;4400
01-02-2015 20:00;4469;4214
01-02-2015 21:00;4399;4162
01-02-2015 22:00;4506;4293
01-02-2015 23:00;4546;4302
02-02-2015 00:00;4800;4570
