Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2012 00:00;2923;2774
01-05-2012 01:00;3075;2928
01-05-2012 02:00;3257;3097
01-05-2012 03:00;3380;3217
01-05-2012 04:00;3569;3403
01-05-2012 05:00;3539;3359
01-05-2012 06:00;3491;3317
01-05-2012 07:00;3312;3160
01-05-2012 08:00;3375;3208
01-05-2012 09:00;3218;3056
01-05-2012 10:00;3268;3090
01-05-2012 11:00;3349;3184
01-05-2012 12:00;3277;3107
01-05-2012 13:00;3387;3212
01-05-2012 14:00;3540;3359
01-05-2012 15:00;3759;3588
01-05-2012 16:00;3486;3311
01-05-2012 17:00;3306;3123
01-05-2012 18:00;3015;2846
01-05-2012 19:00;2917;2754
01-05-2012 20:00;2972;2800
01-05-2012 21:00;2865;2700
01-05-2012 22:00;2948;2786
01-05-2012 23:00;2949;2791
02-05-2012 00:00;3167;3003
