Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2011 00:00;3648;3544
01-04-2011 01:00;3792;3646
01-04-2011 02:00;3916;3767
01-04-2011 03:00;4014;3893
01-04-2011 04:00;4019;3904
01-04-2011 05:00;3901;3754
01-04-2011 06:00;3913;3784
01-04-2011 07:00;3820;3678
01-04-2011 08:00;3763;3619
01-04-2011 09:00;3787;3632
01-04-2011 10:00;3762;3615
01-04-2011 11:00;3889;3755
01-04-2011 12:00;3986;3838
01-04-2011 13:00;3870;3713
01-04-2011 14:00;4145;3983
01-04-2011 15:00;4109;3948
01-04-2011 16:00;4015;3858
01-04-2011 17:00;3880;3740
01-04-2011 18:00;3604;3500
01-04-2011 19:00;3422;3299
01-04-2011 20:00;3445;3316
01-04-2011 21:00;3289;3174
01-04-2011 22:00;3332;3209
01-04-2011 23:00;3374;3275
02-04-2011 00:00;3555;3452
