Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2011 00:00;2916;2801
01-05-2011 01:00;3062;2951
01-05-2011 02:00;3247;3131
01-05-2011 03:00;3433;3320
01-05-2011 04:00;3550;3417
01-05-2011 05:00;3477;3350
01-05-2011 06:00;3368;3249
01-05-2011 07:00;3338;3213
01-05-2011 08:00;3354;3245
01-05-2011 09:00;3421;3295
01-05-2011 10:00;3444;3326
01-05-2011 11:00;3447;3334
01-05-2011 12:00;3480;3352
01-05-2011 13:00;3471;3339
01-05-2011 14:00;3494;3363
01-05-2011 15:00;3586;3454
01-05-2011 16:00;3584;3447
01-05-2011 17:00;3394;3263
01-05-2011 18:00;3200;3076
01-05-2011 19:00;2962;2858
01-05-2011 20:00;2924;2820
01-05-2011 21:00;2869;2763
01-05-2011 22:00;2955;2841
01-05-2011 23:00;2861;2737
02-05-2011 00:00;2997;2893
