Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2019 00:00;5045;4726
01-04-2019 01:00;5500;5002
01-04-2019 02:00;5739;5066
01-04-2019 03:00;5815;4979
01-04-2019 04:00;5588;4772
01-04-2019 05:00;5649;4820
01-04-2019 06:00;5724;4881
01-04-2019 07:00;5645;4801
01-04-2019 08:00;5526;4673
01-04-2019 09:00;5693;4850
01-04-2019 10:00;5648;4809
01-04-2019 11:00;5715;4881
01-04-2019 12:00;5789;4940
01-04-2019 13:00;5965;5117
01-04-2019 14:00;5966;5121
01-04-2019 15:00;5861;5055
01-04-2019 16:00;5500;4902
01-04-2019 17:00;5193;4782
01-04-2019 18:00;4809;4543
01-04-2019 19:00;4814;4640
01-04-2019 20:00;4509;4408
01-04-2019 21:00;4634;4513
01-04-2019 22:00;4583;4478
01-04-2019 23:00;4764;4631
02-04-2019 00:00;5030;4720
