Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-06-2004 00:00;2240;2212
01-06-2004 01:00;2467;2433
01-06-2004 02:00;2683;2643
01-06-2004 03:00;2680;2636
01-06-2004 04:00;2647;2614
01-06-2004 05:00;2509;2476
01-06-2004 06:00;2488;2454
01-06-2004 07:00;2522;2487
01-06-2004 08:00;2443;2408
01-06-2004 09:00;2397;2364
01-06-2004 10:00;2379;2347
01-06-2004 11:00;2401;2368
01-06-2004 12:00;2374;2340
01-06-2004 13:00;2355;2314
01-06-2004 14:00;2444;2408
01-06-2004 15:00;2655;2618
01-06-2004 16:00;2624;2581
01-06-2004 17:00;2487;2438
01-06-2004 18:00;2169;2134
01-06-2004 19:00;2083;2053
01-06-2004 20:00;1986;1958
01-06-2004 21:00;2003;1976
01-06-2004 22:00;1940;1911
01-06-2004 23:00;2057;2029
02-06-2004 00:00;2260;2227
