Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2004 00:00;3618;3598
01-02-2004 01:00;3700;3684
01-02-2004 02:00;3891;3871
01-02-2004 03:00;4029;4011
01-02-2004 04:00;3990;3969
01-02-2004 05:00;3926;3893
01-02-2004 06:00;3809;3770
01-02-2004 07:00;3874;3847
01-02-2004 08:00;3730;3702
01-02-2004 09:00;3762;3740
01-02-2004 10:00;3886;3857
01-02-2004 11:00;4011;3988
01-02-2004 12:00;4392;4353
01-02-2004 13:00;4349;4317
01-02-2004 14:00;4222;4190
01-02-2004 15:00;4121;4089
01-02-2004 16:00;3940;3906
01-02-2004 17:00;3701;3673
01-02-2004 18:00;3528;3501
01-02-2004 19:00;3528;3511
01-02-2004 20:00;3413;3401
01-02-2004 21:00;3418;3400
01-02-2004 22:00;3401;3383
01-02-2004 23:00;3535;3521
02-02-2004 00:00;3821;3812
