Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2005 00:00;2776;2739
01-05-2005 01:00;2810;2761
01-05-2005 02:00;2992;2950
01-05-2005 03:00;3094;3024
01-05-2005 04:00;3162;3108
01-05-2005 05:00;3117;3060
01-05-2005 06:00;3219;3155
01-05-2005 07:00;3018;2973
01-05-2005 08:00;2986;2937
01-05-2005 09:00;2987;2940
01-05-2005 10:00;2971;2920
01-05-2005 11:00;3088;3039
01-05-2005 12:00;3012;2975
01-05-2005 13:00;2994;2945
01-05-2005 14:00;3098;3038
01-05-2005 15:00;3250;3198
01-05-2005 16:00;3272;3220
01-05-2005 17:00;3037;2991
01-05-2005 18:00;2863;2812
01-05-2005 19:00;2851;2790
01-05-2005 20:00;2716;2677
01-05-2005 21:00;2730;2678
01-05-2005 22:00;2680;2635
01-05-2005 23:00;2676;2620
02-05-2005 00:00;2750;2695
