Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2005 00:00;4006;3939
01-02-2005 01:00;4304;4212
01-02-2005 02:00;4397;4309
01-02-2005 03:00;4386;4302
01-02-2005 04:00;4378;4287
01-02-2005 05:00;4276;4190
01-02-2005 06:00;4150;4074
01-02-2005 07:00;4176;4097
01-02-2005 08:00;4136;4040
01-02-2005 09:00;4209;4108
01-02-2005 10:00;4182;4088
01-02-2005 11:00;4371;4286
01-02-2005 12:00;4617;4519
01-02-2005 13:00;4602;4497
01-02-2005 14:00;4525;4436
01-02-2005 15:00;4300;4210
01-02-2005 16:00;4085;3995
01-02-2005 17:00;3931;3841
01-02-2005 18:00;3799;3705
01-02-2005 19:00;3626;3551
01-02-2005 20:00;3649;3562
01-02-2005 21:00;3561;3470
01-02-2005 22:00;3624;3546
01-02-2005 23:00;3695;3623
02-02-2005 00:00;3979;3892
