Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2007 00:00;3201;3179
01-04-2007 01:00;3208;3186
01-04-2007 02:00;3381;3333
01-04-2007 03:00;3526;3479
01-04-2007 04:00;3504;3472
01-04-2007 05:00;3510;3483
01-04-2007 06:00;3505;3471
01-04-2007 07:00;3430;3408
01-04-2007 08:00;3463;3429
01-04-2007 09:00;3375;3340
01-04-2007 10:00;3363;3339
01-04-2007 11:00;3419;3392
01-04-2007 12:00;3459;3418
01-04-2007 13:00;3459;3422
01-04-2007 14:00;3675;3638
01-04-2007 15:00;3825;3774
01-04-2007 16:00;3592;3556
01-04-2007 17:00;3301;3279
01-04-2007 18:00;3167;3140
01-04-2007 19:00;3142;3103
01-04-2007 20:00;3028;2989
01-04-2007 21:00;3053;3011
01-04-2007 22:00;2981;2947
01-04-2007 23:00;3161;3117
02-04-2007 00:00;3412;3380
