Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2007 00:00;3836;3813
01-02-2007 01:00;4062;4030
01-02-2007 02:00;4174;4146
01-02-2007 03:00;4194;4175
01-02-2007 04:00;4136;4117
01-02-2007 05:00;4007;3989
01-02-2007 06:00;3917;3893
01-02-2007 07:00;3941;3921
01-02-2007 08:00;3950;3922
01-02-2007 09:00;3983;3960
01-02-2007 10:00;3953;3934
01-02-2007 11:00;4162;4133
01-02-2007 12:00;4392;4369
01-02-2007 13:00;4339;4309
01-02-2007 14:00;4238;4202
01-02-2007 15:00;4115;4083
01-02-2007 16:00;3949;3935
01-02-2007 17:00;3708;3685
01-02-2007 18:00;3555;3535
01-02-2007 19:00;3446;3433
01-02-2007 20:00;3433;3402
01-02-2007 21:00;3358;3342
01-02-2007 22:00;3478;3451
01-02-2007 23:00;3509;3484
02-02-2007 00:00;3828;3794
