Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2019 00:00;5439;5310
01-01-2019 01:00;5297;5179
01-01-2019 02:00;5267;5152
01-01-2019 03:00;5408;5277
01-01-2019 04:00;5552;5420
01-01-2019 05:00;5564;5453
01-01-2019 06:00;5665;5536
01-01-2019 07:00;5663;5543
01-01-2019 08:00;5659;5473
01-01-2019 09:00;5659;5363
01-01-2019 10:00;6052;5541
01-01-2019 11:00;6163;5653
01-01-2019 12:00;6199;5685
01-01-2019 13:00;6231;5725
01-01-2019 14:00;6048;5632
01-01-2019 15:00;5903;5614
01-01-2019 16:00;5747;5612
01-01-2019 17:00;5679;5559
01-01-2019 18:00;5526;5411
01-01-2019 19:00;5427;5298
01-01-2019 20:00;5345;5229
01-01-2019 21:00;5227;5119
01-01-2019 22:00;5371;5262
01-01-2019 23:00;5401;5285
02-01-2019 00:00;5525;5400
