Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2005 00:00;3703;3616
01-01-2005 01:00;3707;3633
01-01-2005 02:00;3709;3615
01-01-2005 03:00;3698;3606
01-01-2005 04:00;3811;3719
01-01-2005 05:00;3751;3672
01-01-2005 06:00;3747;3653
01-01-2005 07:00;3749;3659
01-01-2005 08:00;3722;3634
01-01-2005 09:00;3772;3682
01-01-2005 10:00;3854;3757
01-01-2005 11:00;4014;3936
01-01-2005 12:00;4236;4149
01-01-2005 13:00;4214;4114
01-01-2005 14:00;4174;4077
01-01-2005 15:00;4046;3960
01-01-2005 16:00;3989;3894
01-01-2005 17:00;3919;3831
01-01-2005 18:00;3738;3653
01-01-2005 19:00;3713;3633
01-01-2005 20:00;3587;3512
01-01-2005 21:00;3579;3497
01-01-2005 22:00;3556;3485
01-01-2005 23:00;3643;3563
02-01-2005 00:00;3689;3610
