Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2012 00:00;3605;3485
01-04-2012 01:00;3632;3517
01-04-2012 02:00;3851;3742
01-04-2012 03:00;4032;3917
01-04-2012 04:00;4111;3983
01-04-2012 05:00;4089;3961
01-04-2012 06:00;4041;3908
01-04-2012 07:00;4078;3937
01-04-2012 08:00;4062;3923
01-04-2012 09:00;4086;3957
01-04-2012 10:00;4044;3906
01-04-2012 11:00;4080;3962
01-04-2012 12:00;4140;4001
01-04-2012 13:00;4055;3921
01-04-2012 14:00;4417;4146
01-04-2012 15:00;4509;4211
01-04-2012 16:00;4255;3961
01-04-2012 17:00;4110;3808
01-04-2012 18:00;3901;3604
01-04-2012 19:00;3597;3476
01-04-2012 20:00;3531;3397
01-04-2012 21:00;3424;3285
01-04-2012 22:00;3393;3269
01-04-2012 23:00;3781;3510
02-04-2012 00:00;3978;3691
