Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2003 00:00;3688;3690
01-02-2003 01:00;3782;3782
01-02-2003 02:00;3942;3945
01-02-2003 03:00;4009;4009
01-02-2003 04:00;4033;4033
01-02-2003 05:00;4006;4009
01-02-2003 06:00;3885;3886
01-02-2003 07:00;3834;3835
01-02-2003 08:00;3798;3797
01-02-2003 09:00;3754;3753
01-02-2003 10:00;3784;3783
01-02-2003 11:00;3951;3950
01-02-2003 12:00;4192;4183
01-02-2003 13:00;4203;4178
01-02-2003 14:00;4129;4101
01-02-2003 15:00;4056;4028
01-02-2003 16:00;3917;3893
01-02-2003 17:00;3758;3741
01-02-2003 18:00;3652;3650
01-02-2003 19:00;3541;3541
01-02-2003 20:00;3477;3478
01-02-2003 21:00;3535;3530
01-02-2003 22:00;3427;3423
01-02-2003 23:00;3484;3485
02-02-2003 00:00;3638;3638
