Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2009 00:00;3525;3439
01-04-2009 01:00;3593;3491
01-04-2009 02:00;3723;3611
01-04-2009 03:00;3665;3559
01-04-2009 04:00;3660;3554
01-04-2009 05:00;3578;3458
01-04-2009 06:00;3467;3370
01-04-2009 07:00;3474;3347
01-04-2009 08:00;3424;3325
01-04-2009 09:00;3475;3391
01-04-2009 10:00;3473;3397
01-04-2009 11:00;3455;3371
01-04-2009 12:00;3551;3466
01-04-2009 13:00;3575;3469
01-04-2009 14:00;3669;3562
01-04-2009 15:00;3801;3705
01-04-2009 16:00;3576;3466
01-04-2009 17:00;3432;3345
01-04-2009 18:00;3133;3048
01-04-2009 19:00;3017;2914
01-04-2009 20:00;3073;2974
01-04-2009 21:00;3065;2968
01-04-2009 22:00;2976;2865
01-04-2009 23:00;3165;3051
02-04-2009 00:00;3391;3282
