Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2006 00:00;4053;4006
01-02-2006 01:00;4323;4261
01-02-2006 02:00;4377;4327
01-02-2006 03:00;4459;4406
01-02-2006 04:00;4451;4395
01-02-2006 05:00;4333;4280
01-02-2006 06:00;4273;4215
01-02-2006 07:00;4300;4250
01-02-2006 08:00;4184;4129
01-02-2006 09:00;4281;4217
01-02-2006 10:00;4201;4130
01-02-2006 11:00;4378;4327
01-02-2006 12:00;4719;4659
01-02-2006 13:00;4612;4539
01-02-2006 14:00;4625;4548
01-02-2006 15:00;4545;4458
01-02-2006 16:00;4178;4107
01-02-2006 17:00;4110;4041
01-02-2006 18:00;3865;3796
01-02-2006 19:00;3786;3734
01-02-2006 20:00;3730;3689
01-02-2006 21:00;3681;3606
01-02-2006 22:00;3723;3668
01-02-2006 23:00;3840;3789
02-02-2006 00:00;4146;4102
