Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2006 00:00;3684;3624
01-01-2006 01:00;3711;3639
01-01-2006 02:00;3611;3553
01-01-2006 03:00;3770;3695
01-01-2006 04:00;3939;3872
01-01-2006 05:00;3853;3782
01-01-2006 06:00;3770;3698
01-01-2006 07:00;3751;3690
01-01-2006 08:00;3712;3649
01-01-2006 09:00;3777;3690
01-01-2006 10:00;3777;3708
01-01-2006 11:00;4101;4022
01-01-2006 12:00;4182;4102
01-01-2006 13:00;4207;4126
01-01-2006 14:00;4103;4023
01-01-2006 15:00;4202;4121
01-01-2006 16:00;3999;3922
01-01-2006 17:00;3872;3802
01-01-2006 18:00;3805;3754
01-01-2006 19:00;3635;3580
01-01-2006 20:00;3607;3553
01-01-2006 21:00;3622;3564
01-01-2006 22:00;3615;3541
01-01-2006 23:00;3685;3612
02-01-2006 00:00;3769;3715
