Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-06-2001 00:00;2162;2151
01-06-2001 01:00;2271;2259
01-06-2001 02:00;2372;2357
01-06-2001 03:00;2477;2462
01-06-2001 04:00;2475;2460
01-06-2001 05:00;2385;2371
01-06-2001 06:00;2310;2295
01-06-2001 07:00;2281;2263
01-06-2001 08:00;2271;2254
01-06-2001 09:00;2276;2264
01-06-2001 10:00;2169;2156
01-06-2001 11:00;2291;2276
01-06-2001 12:00;2214;2199
01-06-2001 13:00;2157;2140
01-06-2001 14:00;2191;2172
01-06-2001 15:00;2329;2313
01-06-2001 16:00;2382;2362
01-06-2001 17:00;2248;2228
01-06-2001 18:00;2071;2055
01-06-2001 19:00;1945;1934
01-06-2001 20:00;1901;1889
01-06-2001 21:00;1851;1840
01-06-2001 22:00;1835;1826
01-06-2001 23:00;1938;1926
02-06-2001 00:00;2008;1998
