Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
02.02.2002 0:00;3678;3674
02.02.2002 1:00;3811.5;3807.5
02.02.2002 2:00;3942;3928
02.02.2002 3:00;4007;3992.5
02.02.2002 4:00;4003;3990.5
02.02.2002 5:00;3889.5;3879.5
02.02.2002 6:00;3770.5;3756.5
02.02.2002 7:00;3731.5;3718.5
02.02.2002 8:00;3699;3694
02.02.2002 9:00;3710;3702
02.02.2002 10:00;3715;3705
02.02.2002 11:00;3920.5;3904.5
02.02.2002 12:00;4197.5;4166
02.02.2002 13:00;4191.5;4156.5
02.02.2002 14:00;4100.5;4075.5
02.02.2002 15:00;3947;3924
02.02.2002 16:00;3822;3804.5
02.02.2002 17:00;3641.5;3632
02.02.2002 18:00;3526;3521.5
02.02.2002 19:00;3412;3408
02.02.2002 20:00;3404.5;3401.5
02.02.2002 21:00;3371.5;3369.5
02.02.2002 22:00;3370;3368
02.02.2002 23:00;3452;3448
03.02.2002 0:00;3468;3464
