Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2003 00:00;3508;3517
01-01-2003 01:00;3471;3480
01-01-2003 02:00;3538;3547
01-01-2003 03:00;3634;3643
01-01-2003 04:00;3660;3669
01-01-2003 05:00;3687;3696
01-01-2003 06:00;3686;3695
01-01-2003 07:00;3691;3700
01-01-2003 08:00;3690;3699
01-01-2003 09:00;3662;3671
01-01-2003 10:00;3706;3715
01-01-2003 11:00;4034;4043
01-01-2003 12:00;4138;4147
01-01-2003 13:00;4038;4047
01-01-2003 14:00;3984;3993
01-01-2003 15:00;3953;3962
01-01-2003 16:00;3903;3912
01-01-2003 17:00;3715;3724
01-01-2003 18:00;3594;3603
01-01-2003 19:00;3493;3502
01-01-2003 20:00;3462;3471
01-01-2003 21:00;3458;3467
01-01-2003 22:00;3391;3400
01-01-2003 23:00;3490;3499
02-01-2003 00:00;3525;3534
