Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2016 00:00;4848;4690
01-03-2016 01:00;4995;4701
01-03-2016 02:00;5200;4891
01-03-2016 03:00;5068;4775
01-03-2016 04:00;5141;4839
01-03-2016 05:00;4978;4681
01-03-2016 06:00;4890;4589
01-03-2016 07:00;4866;4559
01-03-2016 08:00;4843;4548
01-03-2016 09:00;4772;4491
01-03-2016 10:00;4768;4474
01-03-2016 11:00;4837;4532
01-03-2016 12:00;5065;4748
01-03-2016 13:00;5223;4907
01-03-2016 14:00;5231;4911
01-03-2016 15:00;5089;4772
01-03-2016 16:00;4962;4682
01-03-2016 17:00;4619;4459
01-03-2016 18:00;4518;4365
01-03-2016 19:00;4470;4287
01-03-2016 20:00;4371;4210
01-03-2016 21:00;4360;4197
01-03-2016 22:00;4367;4205
01-03-2016 23:00;4498;4339
02-03-2016 00:00;4725;4582
