Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2001 00:00;2275;2274
01-05-2001 01:00;2352;2345
01-05-2001 02:00;2457;2444
01-05-2001 03:00;2613;2592
01-05-2001 04:00;2580;2556
01-05-2001 05:00;2563;2542
01-05-2001 06:00;2504;2483
01-05-2001 07:00;2508;2479
01-05-2001 08:00;2448;2424
01-05-2001 09:00;2405;2387
01-05-2001 10:00;2330;2310
01-05-2001 11:00;2416;2393
01-05-2001 12:00;2432;2401
01-05-2001 13:00;2544;2510
01-05-2001 14:00;2639;2606
01-05-2001 15:00;2877;2842
01-05-2001 16:00;2773;2728
01-05-2001 17:00;2585;2547
01-05-2001 18:00;2369;2347
01-05-2001 19:00;2281;2270
01-05-2001 20:00;2216;2209
01-05-2001 21:00;2191;2187
01-05-2001 22:00;2213;2208
01-05-2001 23:00;2278;2273
02-05-2001 00:00;2312;2307
