Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2017 00:00;4959;4757
01-02-2017 01:00;5213;5004
01-02-2017 02:00;5225;5021
01-02-2017 03:00;5331;5130
01-02-2017 04:00;5319;5118
01-02-2017 05:00;5361;5160
01-02-2017 06:00;5249;5041
01-02-2017 07:00;5189;4983
01-02-2017 08:00;5155;4936
01-02-2017 09:00;5120;4930
01-02-2017 10:00;5124;4907
01-02-2017 11:00;5195;5006
01-02-2017 12:00;5471;5249
01-02-2017 13:00;5404;5183
01-02-2017 14:00;5318;5100
01-02-2017 15:00;5266;5055
01-02-2017 16:00;5107;4893
01-02-2017 17:00;4877;4661
01-02-2017 18:00;4742;4537
01-02-2017 19:00;4623;4436
01-02-2017 20:00;4503;4303
01-02-2017 21:00;4585;4403
01-02-2017 22:00;4604;4404
01-02-2017 23:00;4704;4512
02-02-2017 00:00;4977;4778
