Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2006 00:00;2718;2644
01-05-2006 01:00;2729;2639
01-05-2006 02:00;3010;2933
01-05-2006 03:00;3072;2973
01-05-2006 04:00;3088;3006
01-05-2006 05:00;3059;2978
01-05-2006 06:00;3024;2930
01-05-2006 07:00;3021;2935
01-05-2006 08:00;2917;2810
01-05-2006 09:00;2877;2791
01-05-2006 10:00;2912;2826
01-05-2006 11:00;3022;2937
01-05-2006 12:00;2950;2872
01-05-2006 13:00;3074;2978
01-05-2006 14:00;3241;3148
01-05-2006 15:00;3378;3283
01-05-2006 16:00;3270;3167
01-05-2006 17:00;3033;2936
01-05-2006 18:00;2893;2810
01-05-2006 19:00;2725;2645
01-05-2006 20:00;2572;2502
01-05-2006 21:00;2650;2559
01-05-2006 22:00;2679;2594
01-05-2006 23:00;2781;2692
02-05-2006 00:00;2900;2819
