Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2006 00:00;3182;3129
01-04-2006 01:00;3302;3252
01-04-2006 02:00;3484;3424
01-04-2006 03:00;3527;3455
01-04-2006 04:00;3583;3530
01-04-2006 05:00;3513;3442
01-04-2006 06:00;3465;3393
01-04-2006 07:00;3396;3333
01-04-2006 08:00;3369;3298
01-04-2006 09:00;3339;3277
01-04-2006 10:00;3283;3222
01-04-2006 11:00;3411;3349
01-04-2006 12:00;3443;3385
01-04-2006 13:00;3477;3407
01-04-2006 14:00;3718;3639
01-04-2006 15:00;3767;3693
01-04-2006 16:00;3554;3473
01-04-2006 17:00;3341;3265
01-04-2006 18:00;3163;3134
01-04-2006 19:00;3014;2994
01-04-2006 20:00;2875;2854
01-04-2006 21:00;2925;2901
01-04-2006 22:00;2959;2941
01-04-2006 23:00;2955;2939
02-04-2006 00:00;3081;3023
