Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2004 00:00;2513;2488
01-05-2004 01:00;2610;2582
01-05-2004 02:00;2739;2708
01-05-2004 03:00;2793;2757
01-05-2004 04:00;2687;2653
01-05-2004 05:00;2663;2626
01-05-2004 06:00;2621;2584
01-05-2004 07:00;2601;2564
01-05-2004 08:00;2511;2474
01-05-2004 09:00;2449;2412
01-05-2004 10:00;2487;2450
01-05-2004 11:00;2532;2501
01-05-2004 12:00;2618;2581
01-05-2004 13:00;2673;2641
01-05-2004 14:00;2792;2753
01-05-2004 15:00;3096;3065
01-05-2004 16:00;2915;2878
01-05-2004 17:00;2610;2578
01-05-2004 18:00;2553;2517
01-05-2004 19:00;2524;2494
01-05-2004 20:00;2407;2374
01-05-2004 21:00;2356;2324
01-05-2004 22:00;2331;2303
01-05-2004 23:00;2506;2474
02-05-2004 00:00;2448;2418
