Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2002 00:00;2989;2977
01-04-2002 01:00;3126;3110
01-04-2002 02:00;3151;3123
01-04-2002 03:00;3278;3248
01-04-2002 04:00;3239;3228
01-04-2002 05:00;3108;3095
01-04-2002 06:00;3038;3026
01-04-2002 07:00;3089;3067
01-04-2002 08:00;3031;3009
01-04-2002 09:00;3016;3006
01-04-2002 10:00;2940;2930
01-04-2002 11:00;2950;2941
01-04-2002 12:00;2990;2976
01-04-2002 13:00;3005;2986
01-04-2002 14:00;3405;3383
01-04-2002 15:00;3399;3369
01-04-2002 16:00;3297;3272
01-04-2002 17:00;3003;2989
01-04-2002 18:00;2796;2785
01-04-2002 19:00;2725;2715
01-04-2002 20:00;2605;2589
01-04-2002 21:00;2694;2683
01-04-2002 22:00;2632;2620
01-04-2002 23:00;2731;2722
02-04-2002 00:00;2951;2938
