Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-02-2009 00:00;3878;3857
01-02-2009 01:00;3989;3974
01-02-2009 02:00;4110;4084
01-02-2009 03:00;4303;4289
01-02-2009 04:00;4462;4447
01-02-2009 05:00;4398;4372
01-02-2009 06:00;4183;4160
01-02-2009 07:00;4218;4197
01-02-2009 08:00;4181;4167
01-02-2009 09:00;4075;4051
01-02-2009 10:00;4069;4054
01-02-2009 11:00;4260;4246
01-02-2009 12:00;4592;4575
01-02-2009 13:00;4746;4722
01-02-2009 14:00;4640;4624
01-02-2009 15:00;4443;4419
01-02-2009 16:00;4334;4315
01-02-2009 17:00;3993;3979
01-02-2009 18:00;3982;3955
01-02-2009 19:00;3764;3744
01-02-2009 20:00;3714;3695
01-02-2009 21:00;3602;3581
01-02-2009 22:00;3741;3716
01-02-2009 23:00;3759;3744
02-02-2009 00:00;4173;4160
