Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2010 00:00;2908;2789
01-05-2010 01:00;2993;2884
01-05-2010 02:00;3199;3068
01-05-2010 03:00;3349;3213
01-05-2010 04:00;3350;3232
01-05-2010 05:00;3284;3169
01-05-2010 06:00;3274;3141
01-05-2010 07:00;3176;3050
01-05-2010 08:00;3093;2962
01-05-2010 09:00;3111;2969
01-05-2010 10:00;3026;2923
01-05-2010 11:00;3158;3029
01-05-2010 12:00;3130;3012
01-05-2010 13:00;3169;3034
01-05-2010 14:00;3267;3128
01-05-2010 15:00;3500;3374
01-05-2010 16:00;3437;3298
01-05-2010 17:00;3188;3064
01-05-2010 18:00;3012;2882
01-05-2010 19:00;2911;2798
01-05-2010 20:00;2824;2708
01-05-2010 21:00;2747;2623
01-05-2010 22:00;2763;2638
01-05-2010 23:00;2774;2653
02-05-2010 00:00;2815;2694
