Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2017 00:00;4480;4351
01-01-2017 01:00;4618;4389
01-01-2017 02:00;4646;4396
01-01-2017 03:00;4730;4485
01-01-2017 04:00;4746;4490
01-01-2017 05:00;4779;4522
01-01-2017 06:00;4738;4486
01-01-2017 07:00;4741;4487
01-01-2017 08:00;4632;4384
01-01-2017 09:00;4626;4381
01-01-2017 10:00;4702;4456
01-01-2017 11:00;4877;4631
01-01-2017 12:00;5003;4746
01-01-2017 13:00;4966;4720
01-01-2017 14:00;4936;4661
01-01-2017 15:00;4887;4634
01-01-2017 16:00;4797;4573
01-01-2017 17:00;4694;4554
01-01-2017 18:00;4514;4381
01-01-2017 19:00;4572;4468
01-01-2017 20:00;4457;4335
01-01-2017 21:00;4424;4306
01-01-2017 22:00;4449;4327
01-01-2017 23:00;4449;4335
02-01-2017 00:00;4510;4384
