Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-01-2008 00:00;3464;3451
01-01-2008 01:00;3614;3600
01-01-2008 02:00;3532;3518
01-01-2008 03:00;3622;3601
01-01-2008 04:00;3636;3623
01-01-2008 05:00;3684;3661
01-01-2008 06:00;3609;3595
01-01-2008 07:00;3640;3616
01-01-2008 08:00;3673;3654
01-01-2008 09:00;3615;3602
01-01-2008 10:00;3630;3617
01-01-2008 11:00;3932;3918
01-01-2008 12:00;4078;4061
01-01-2008 13:00;4025;4007
01-01-2008 14:00;4088;4069
01-01-2008 15:00;3896;3872
01-01-2008 16:00;3879;3856
01-01-2008 17:00;3817;3792
01-01-2008 18:00;3694;3669
01-01-2008 19:00;3588;3570
01-01-2008 20:00;3444;3425
01-01-2008 21:00;3461;3441
01-01-2008 22:00;3401;3386
01-01-2008 23:00;3491;3478
02-01-2008 00:00;3567;3548
