Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2017 00:00;3191;3095
01-05-2017 01:00;3587;3299
01-05-2017 02:00;3937;3479
01-05-2017 03:00;4385;3732
01-05-2017 04:00;4273;3619
01-05-2017 05:00;4097;3436
01-05-2017 06:00;4286;3618
01-05-2017 07:00;4113;3454
01-05-2017 08:00;4090;3427
01-05-2017 09:00;4113;3433
01-05-2017 10:00;3940;3276
01-05-2017 11:00;4019;3355
01-05-2017 12:00;4124;3457
01-05-2017 13:00;4310;3625
01-05-2017 14:00;4461;3867
01-05-2017 15:00;4105;3707
01-05-2017 16:00;3827;3568
01-05-2017 17:00;3539;3379
01-05-2017 18:00;3407;3242
01-05-2017 19:00;3271;3115
01-05-2017 20:00;3079;3003
01-05-2017 21:00;3121;3041
01-05-2017 22:00;3108;3023
01-05-2017 23:00;3173;3098
02-05-2017 00:00;3436;3355
