Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2005 00:00;3402;3312
01-04-2005 01:00;3553;3474
01-04-2005 02:00;3649;3559
01-04-2005 03:00;3563;3468
01-04-2005 04:00;3458;3387
01-04-2005 05:00;3514;3446
01-04-2005 06:00;3457;3375
01-04-2005 07:00;3512;3429
01-04-2005 08:00;3374;3288
01-04-2005 09:00;3436;3347
01-04-2005 10:00;3428;3339
01-04-2005 11:00;3443;3352
01-04-2005 12:00;3473;3391
01-04-2005 13:00;3509;3419
01-04-2005 14:00;3785;3692
01-04-2005 15:00;3877;3790
01-04-2005 16:00;3684;3594
01-04-2005 17:00;3371;3281
01-04-2005 18:00;3217;3130
01-04-2005 19:00;3148;3049
01-04-2005 20:00;3011;2930
01-04-2005 21:00;2973;2888
01-04-2005 22:00;3000;2915
01-04-2005 23:00;3038;2954
02-04-2005 00:00;3161;3080
