Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2018 00:00;3388;2928
01-05-2018 01:00;3891;3211
01-05-2018 02:00;4153;3342
01-05-2018 03:00;4364;3545
01-05-2018 04:00;4471;3655
01-05-2018 05:00;4277;3468
01-05-2018 06:00;4416;3598
01-05-2018 07:00;4314;3488
01-05-2018 08:00;4268;3456
01-05-2018 09:00;4299;3493
01-05-2018 10:00;4203;3383
01-05-2018 11:00;4352;3532
01-05-2018 12:00;4351;3524
01-05-2018 13:00;4490;3656
01-05-2018 14:00;4384;3694
01-05-2018 15:00;4225;3735
01-05-2018 16:00;3877;3579
01-05-2018 17:00;3611;3373
01-05-2018 18:00;3423;3184
01-05-2018 19:00;3306;3078
01-05-2018 20:00;3280;3041
01-05-2018 21:00;3209;2968
01-05-2018 22:00;3369;3127
01-05-2018 23:00;3360;3076
02-05-2018 00:00;3536;3057
