Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-04-2003 00:00;3085;3075
01-04-2003 01:00;3207;3197
01-04-2003 02:00;3302;3282
01-04-2003 03:00;3361;3336
01-04-2003 04:00;3234;3217
01-04-2003 05:00;3100;3085
01-04-2003 06:00;3055;3038
01-04-2003 07:00;3115;3090
01-04-2003 08:00;3123;3100
01-04-2003 09:00;3078;3065
01-04-2003 10:00;2948;2935
01-04-2003 11:00;3065;3051
01-04-2003 12:00;3113;3097
01-04-2003 13:00;3182;3153
01-04-2003 14:00;3406;3373
01-04-2003 15:00;3522;3483
01-04-2003 16:00;3292;3254
01-04-2003 17:00;2998;2969
01-04-2003 18:00;2831;2817
01-04-2003 19:00;2728;2717
01-04-2003 20:00;2704;2694
01-04-2003 21:00;2742;2732
01-04-2003 22:00;2685;2675
01-04-2003 23:00;2827;2818
02-04-2003 00:00;3050;3041
