Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-05-2007 00:00;2537;2520
01-05-2007 01:00;2674;2655
01-05-2007 02:00;2874;2860
01-05-2007 03:00;2989;2969
01-05-2007 04:00;3011;2997
01-05-2007 05:00;3035;3026
01-05-2007 06:00;3071;3055
01-05-2007 07:00;2987;2975
01-05-2007 08:00;2969;2962
01-05-2007 09:00;2905;2896
01-05-2007 10:00;2887;2864
01-05-2007 11:00;2992;2982
01-05-2007 12:00;3074;3059
01-05-2007 13:00;3076;3047
01-05-2007 14:00;3149;3128
01-05-2007 15:00;3259;3236
01-05-2007 16:00;3115;3092
01-05-2007 17:00;2881;2863
01-05-2007 18:00;2651;2635
01-05-2007 19:00;2478;2463
01-05-2007 20:00;2512;2498
01-05-2007 21:00;2438;2427
01-05-2007 22:00;2545;2528
01-05-2007 23:00;2608;2583
02-05-2007 00:00;2811;2793
