Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2008 00:00;3714;3703
01-03-2008 01:00;3836;3837
01-03-2008 02:00;3948;3944
01-03-2008 03:00;3916;3918
01-03-2008 04:00;3987;3986
01-03-2008 05:00;3910;3908
01-03-2008 06:00;3834;3836
01-03-2008 07:00;3831;3830
01-03-2008 08:00;3812;3814
01-03-2008 09:00;3781;3775
01-03-2008 10:00;3861;3858
01-03-2008 11:00;3793;3791
01-03-2008 12:00;4095;4091
01-03-2008 13:00;4377;4376
01-03-2008 14:00;4257;4248
01-03-2008 15:00;4193;4193
01-03-2008 16:00;3973;3961
01-03-2008 17:00;3844;3847
01-03-2008 18:00;3628;3625
01-03-2008 19:00;3500;3496
01-03-2008 20:00;3418;3411
01-03-2008 21:00;3510;3513
01-03-2008 22:00;3364;3353
01-03-2008 23:00;3531;3520
02-03-2008 00:00;3523;3515
