Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2019 00:00;5291;5132
01-03-2019 01:00;5578;5240
01-03-2019 02:00;5759;5345
01-03-2019 03:00;5801;5396
01-03-2019 04:00;5514;5193
01-03-2019 05:00;5414;5226
01-03-2019 06:00;5331;5137
01-03-2019 07:00;5256;5066
01-03-2019 08:00;5220;5036
01-03-2019 09:00;5334;5026
01-03-2019 10:00;5424;4930
01-03-2019 11:00;5513;5016
01-03-2019 12:00;5757;5244
01-03-2019 13:00;5854;5336
01-03-2019 14:00;5852;5346
01-03-2019 15:00;5664;5239
01-03-2019 16:00;5327;5061
01-03-2019 17:00;5199;5035
01-03-2019 18:00;5026;4917
01-03-2019 19:00;4959;4847
01-03-2019 20:00;4894;4777
01-03-2019 21:00;4737;4636
01-03-2019 22:00;4884;4762
01-03-2019 23:00;5051;4936
02-03-2019 00:00;5147;4980
