Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-03-2014 00:00;4269;3894
01-03-2014 01:00;4552;4190
01-03-2014 02:00;4754;4361
01-03-2014 03:00;4932;4547
01-03-2014 04:00;4996;4622
01-03-2014 05:00;4959;4561
01-03-2014 06:00;4875;4478
01-03-2014 07:00;4740;4348
01-03-2014 08:00;4730;4340
01-03-2014 09:00;4666;4284
01-03-2014 10:00;4699;4310
01-03-2014 11:00;4586;4215
01-03-2014 12:00;4553;4164
01-03-2014 13:00;4828;4436
01-03-2014 14:00;4884;4489
01-03-2014 15:00;4914;4524
01-03-2014 16:00;4780;4371
01-03-2014 17:00;4513;4130
01-03-2014 18:00;4507;4118
01-03-2014 19:00;4171;3823
01-03-2014 20:00;4240;3873
01-03-2014 21:00;4125;3774
01-03-2014 22:00;4086;3713
01-03-2014 23:00;4100;3728
02-03-2014 00:00;4143;3783
