Время Мск;Генерация, МВт*ч\;Потребление, МВт*ч
01-06-2002 00:00;2127;2117
01-06-2002 01:00;2189;2177
01-06-2002 02:00;2228;2215
01-06-2002 03:00;2374;2358
01-06-2002 04:00;2378;2363
01-06-2002 05:00;2360;2344
01-06-2002 06:00;2203;2188
01-06-2002 07:00;2236;2221
01-06-2002 08:00;2171;2156
01-06-2002 09:00;2157;2144
01-06-2002 10:00;2149;2135
01-06-2002 11:00;2255;2242
01-06-2002 12:00;2170;2156
01-06-2002 13:00;2285;2267
01-06-2002 14:00;2378;2360
01-06-2002 15:00;2453;2437
01-06-2002 16:00;2484;2466
01-06-2002 17:00;2215;2198
01-06-2002 18:00;1983;1970
01-06-2002 19:00;1916;1904
01-06-2002 20:00;1850;1840
01-06-2002 21:00;1830;1818
01-06-2002 22:00;1822;1810
01-06-2002 23:00;1817;1806
02-06-2002 00:00;1934;1924
